Name,Symbol,Marketcap,Price,Volume
Bitcoin,BTC,"$171,676,306,564","$9,434.86","$30,029,943,940"
Ethereum,ETH,"$20,953,975,868",$191.30,"$13,856,623,351"
XRP,XRP,"$11,057,695,971",$0.253120,"$2,314,112,178"
Bitcoin Cash,BCH,"$6,995,276,137",$383.16,"$3,181,795,365"
Bitcoin SV,BSV,"$5,110,964,865",$279.99,"$1,953,059,661"
Tether,USDT,"$4,640,293,102",$0.999553,"$39,745,602,261"
Litecoin,LTC,"$4,585,152,245",$71.65,"$5,658,686,721"
EOS,EOS,"$4,070,599,645",$4.28,"$3,074,993,518"
Binance Coin,BNB,"$2,906,269,854",$18.69,"$253,309,141"
Cardano,ADA,"$1,489,245,543",$0.057440,"$176,573,547"
Ethereum Classic,ETC,"$1,336,700,131",$11.49,"$2,245,508,589"
Stellar,XLM,"$1,304,330,981",$0.065018,"$445,050,861"
TRON,TRX,"$1,302,808,326",$0.019538,"$1,497,631,253"
Monero,XMR,"$1,296,388,040",$74.39,"$102,355,755"
Tezos,XTZ,"$1,216,459,958",$1.75,"$48,962,837"
Dash,DASH,"$1,090,174,746",$117.15,"$789,704,988"
Chainlink,LINK,"$1,001,883,717",$2.86,"$127,668,942"
UNUS SED LEO,LEO,"$885,732,158",$0.886176,"$9,022,093"
Neo,NEO,"$868,092,083",$12.31,"$603,021,196"
IOTA,MIOTA,"$861,258,513",$0.309858,"$15,095,937"
Cosmos,ATOM,"$848,932,867",$4.45,"$152,278,697"
Huobi Token,HT,"$824,869,265",$3.49,"$173,927,942"
Crypto.com Coin,CRO,"$734,653,173",$0.054743,"$10,107,294"
HedgeTrade,HEDG,"$733,984,411",$2.55,"$1,163,328"
Zcash,ZEC,"$593,390,676",$67.42,"$493,466,455"
Maker,MKR,"$553,029,130",$559.54,"$4,126,955"
Ontology,ONT,"$506,532,468",$0.794746,"$141,403,747"
USD Coin,USDC,"$447,057,857",$1.03,"$373,705,498"
NEM,XEM,"$435,614,985",$0.048402,"$37,102,029"
VeChain,VET,"$335,506,669",$0.006050,"$135,199,635"
Basic Attention Token,BAT,"$326,521,746",$0.229414,"$52,213,574"
Dogecoin,DOGE,"$306,927,800",$0.002492,"$84,227,908"
FTX Token,FTT,"$227,789,554",$2.35,"$5,408,572"
Paxos Standard,PAX,"$226,179,234",$0.999436,"$401,873,161"
Qtum,QTUM,"$221,687,825",$2.30,"$475,750,281"
Decred,DCR,"$208,787,404",$19.36,"$101,019,783"
Bitcoin Gold,BTG,"$196,812,352",$11.24,"$38,955,000"
Synthetix Network Token,SNX,"$192,355,449",$1.19,"$142,272"
ICON,ICX,"$172,653,639",$0.332515,"$63,988,614"
Augur,REP,"$159,175,429",$14.47,"$15,735,749"
Ravencoin,RVN,"$154,371,709",$0.028451,"$8,984,351"
0x,ZRX,"$148,662,700",$0.237496,"$17,193,352"
Algorand,ALGO,"$139,725,873",$0.256111,"$53,632,532"
OmiseGO,OMG,"$137,984,728",$0.983881,"$95,631,480"
TrueUSD,TUSD,"$135,921,488",$0.999754,"$552,916,520"
OKB,OKB,"$131,132,746",$3.28,"$94,776,892"
Lisk,LSK,"$127,795,540",$1.05,"$2,917,430"
ZB Token,ZB,"$125,604,029",$0.271114,"$52,286,859"
MonaCoin,MONA,"$125,545,396",$1.91,"$51,827,354"
Swipe,SXP,"$123,133,575",$1.88,"$18,327,829"
Bitcoin Diamond,BCD,"$118,427,120",$0.635022,"$3,762,008"
Holo,HOT,"$110,285,192",$0.000679,"$8,281,493"
Nano,NANO,"$108,489,358",$0.814189,"$3,839,288"
Multi-collateral DAI,DAI,"$107,215,972",$1.00,"$16,113,578"
Waves,WAVES,"$101,753,015",$1.01,"$86,144,034"
Bytom,BTM,"$100,708,115",$0.100457,"$33,387,112"
Molecular Future,MOF,"$98,847,124",$1.16,"$13,698,974"
KuCoin Shares,KCS,"$93,891,123",$1.15,"$8,249,901"
THETA,THETA,"$92,557,628",$0.106327,"$2,540,681"
Horizen,ZEN,"$90,045,316",$10.80,"$1,290,908"
Nexo,NEXO,"$87,136,807",$0.155601,"$12,618,282"
BitShares,BTS,"$86,334,724",$0.031420,"$57,441,462"
Enjin Coin,ENJ,"$85,913,941",$0.107468,"$11,632,109"
Nervos Network,CKB,"$85,154,066",$0.006454,"$4,194,835"
DigiByte,DGB,"$85,137,706",$0.006662,"$1,078,322"
BitTorrent,BTT,"$84,649,831",$0.000399,"$81,346,711"
Siacoin,SC,"$82,973,900",$0.001984,"$3,235,192"
V Systems,VSYS,"$81,708,395",$0.042701,"$4,055,197"
MCO,MCO,"$81,312,177",$5.15,"$16,046,975"
Komodo,KMD,"$78,841,519",$0.667256,"$3,071,530"
HyperCash,HC,"$78,554,312",$1.77,"$37,653,466"
Centrality,CENNZ,"$77,582,457",$0.072525,"$127,028"
IOST,IOST,"$74,430,264",$0.006195,"$46,007,464"
Zcoin,XZC,"$72,705,289",$7.75,"$12,877,335"
DigixDAO,DGD,"$69,638,063",$34.82,"$825,732"
KickToken,KICK,"$67,618,611",$0.000097,"$28,163"
Verge,XVG,"$66,354,263",$0.004105,"$2,433,317"
Steem,STEEM,"$63,916,863",$0.178072,"$2,478,548"
Bytecoin,BCN,"$62,888,527",$0.000342,"$8,673"
Zilliqa,ZIL,"$62,180,886",$0.006299,"$10,865,266"
ABBC Coin,ABBC,"$60,693,791",$0.109276,"$42,942,498"
Seele,SEELE,"$59,923,682",$0.085656,"$32,638,251"
Quant,QNT,"$59,725,241",$4.95,"$2,422,856"
Aeternity,AE,"$58,471,737",$0.194914,"$19,707,827"
MaidSafeCoin,MAID,"$55,919,001",$0.123564,"$359,620"
Ardor,ARDR,"$55,594,391",$0.055650,"$3,388,043"
Terra,LUNA,"$55,552,394",$0.193047,"$2,952,972"
iExec RLC,RLC,"$52,977,783",$0.661637,"$1,301,072"
Kyber Network,KNC,"$52,391,822",$0.301606,"$5,685,497"
Matic Network,MATIC,"$49,502,752",$0.019348,"$20,675,175"
DxChain Token,DX,"$49,448,320",$0.000989,"$1,186,064"
Status,SNT,"$49,385,142",$0.014230,"$44,061,015"
RIF Token,RIF,"$48,824,249",$0.087399,"$6,759,061"
Energi,NRG,"$46,886,776",$1.84,"$394,334"
Electroneum,ETN,"$43,153,159",$0.004324,"$147,262"
Beam,BEAM,"$41,999,395",$0.774747,"$37,690,731"
BlockStamp,BST,"$41,805,921",$1.60,"$1,026,743"
Golem,GNT,"$40,134,196",$0.040951,"$3,125,349"
aelf,ELF,"$40,119,794",$0.073685,"$30,607,706"
Yap Stone,YAP,"$39,867,878",$0.265786,"$8,080,484"
